make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price
volkswagen,?,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,109,100,9995
honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,100,10345
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16430
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,11845
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,110,101,12945
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,10945
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,70,101,13645
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16925
audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,109,102,?
dodge,?,turbo,,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,102,8558
mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,98,102,7689
dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957
plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102,7957
volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,145,106,22470
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,121,110,15040
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,121,110,12170
audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,110,18920
volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,136,110,13295
audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,110,15250
audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,110,17710
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,121,110,15510
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,121,110,11850
subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,108,111,11694
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,16500
subaru,?,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,108,111,11259
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,13495
toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,98,112,9538
toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,98,112,9298
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,141,114,15985
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,141,114,16515
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,141,114,16845
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,141,114,12940
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,141,114,13415
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,141,114,22625
audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,136,115,17450
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,146,116,9639
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,146,116,11199
mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279
mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,110,116,9279
toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,146,116,17669
mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,110,116,9959
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,146,116,8449
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,146,116,9989
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,146,116,11549
mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,140,120,18280
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,164,121,20970
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,164,121,21105
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,164,121,24565
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,183,123,28176
mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,183,123,31600
mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,183,123,28248
mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,183,123,25552
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,173,134,21485
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,80,135,15645
audi,?,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,131,140,23875
peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,134,142,18150
porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,151,143,22018
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,156,145,12629
dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,156,145,12964
plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,156,145,12764
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,156,145,14869
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,156,145,14489
nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,181,152,13499
nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,181,152,14399
nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,181,152,13499
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,152,154,16500
mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,234,155,34184
mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,234,155,35056
toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,161,156,15750
toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,171,156,15690
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,141,160,19045
saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,121,160,18620
nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,181,160,18399
saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,121,160,18150
nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,181,160,17199
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,171,161,15998
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,171,161,16558
volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,130,162,18950
volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,130,162,18420
mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,140,175,16503
