make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,108,94.0,10198.0
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84.0,10245.0
honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,110,86.0,10295.0
honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,100.0,10345.0
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84.0,10595.0
toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,110,73.0,10698.0
mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,122,64.0,10795.0
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,122,92.0,10898.0
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101.0,10945.0
isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,119,90.0,11048.0
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,146,116.0,11199.0
mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,122,84.0,11245.0
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,122,92.0,11248.0
subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,108,111.0,11259.0
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,146,116.0,11549.0
volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,109,90.0,11595.0
subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,108,111.0,11694.0
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101.0,11845.0
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,121,110.0,11850.0
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,120,97.0,11900.0
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,121,110.0,12170.0
volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,109,88.0,12290.0
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,120,97.0,12440.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,156,145.0,12629.0
plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,156,145.0,12764.0
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,141,114.0,12940.0
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,110,101.0,12945.0
dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,156,145.0,12964.0
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,152,95.0,13200.0
volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,136,110.0,13295.0
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,141,114.0,13415.0
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111.0,13495.0
nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,181,152.0,13499.0
nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,181,152.0,13499.0
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,70,101.0,13645.0
volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,97,68.0,13845.0
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,152,95.0,13860.0
nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,181,152.0,14399.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,156,145.0,14489.0
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,156,145.0,14869.0
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,121,110.0,15040.0
audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,110.0,15250.0
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,121,110.0,15510.0
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,95.0,15580.0
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,80,135.0,15645.0
toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,171,156.0,15690.0
toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,161,156.0,15750.0
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,141,114.0,15985.0
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,171,161.0,15998.0
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101.0,16430.0
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111.0,16500.0
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,152,154.0,16500.0
mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,140,175.0,16503.0
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,141,114.0,16515.0
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,171,161.0,16558.0
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,97.0,16630.0
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,120,95.0,16695.0
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,141,114.0,16845.0
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95.0,16900.0
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101.0,16925.0
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,152,95.0,17075.0
nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,181,160.0,17199.0
audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,136,115.0,17450.0
toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,146,116.0,17669.0
audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,110.0,17710.0
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95.0,17950.0
peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,134,142.0,18150.0
saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,121,160.0,18150.0
mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,140,120.0,18280.0
mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,134,72.0,18344.0
nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,181,160.0,18399.0
volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,130,162.0,18420.0
saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,121,160.0,18620.0
audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,110.0,18920.0
volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,130,162.0,18950.0
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,141,160.0,19045.0
nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,181,200.0,19699.0
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,164,121.0,20970.0
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,164,121.0,21105.0
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,173,134.0,21485.0
porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,151,143.0,22018.0
volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,145,106.0,22470.0
