make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,length_min_max,width_std,height_log,price_decile
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,108,94,10198,0.48,-0.08,3.99,0.5
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,10245,0.55,0.1,4.03,0.5
honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,110,86,10295,0.51,-0.54,4.01,0.6
honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,100,10345,0.42,0.02,3.95,0.6
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,10595,0.55,0.1,4.0,0.6
toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,110,73,10698,0.51,0.1,4.02,0.6
mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,122,64,10795,0.55,0.1,4.03,0.6
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,122,92,10898,0.51,0.1,4.02,0.6
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,10945,0.42,-0.03,3.92,0.6
isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,119,90,11048,0.47,-0.11,3.96,0.6
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,146,116,11199,0.52,-0.05,3.97,0.6
mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,122,84,11245,0.55,0.1,4.03,0.6
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,122,92,11248,0.51,0.1,4.01,0.6
subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,108,111,11259,0.46,-0.08,4.01,0.6
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,146,116,11549,0.52,-0.05,3.97,0.6
volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,109,90,11595,0.27,-0.27,4.04,0.6
subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,108,111,11694,0.49,-0.08,4.02,0.6
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,11845,0.42,-0.03,3.92,0.6
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,121,110,11850,0.68,0.1,4.04,0.6
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,120,97,11900,0.68,0.4,4.06,0.6
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,121,110,12170,0.68,0.1,4.04,0.6
volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,109,88,12290,0.63,0.16,4.03,0.6
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,120,97,12440,0.86,0.4,4.09,0.7
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,156,145,12629,0.48,0.07,3.94,0.7
plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,156,145,12764,0.48,0.07,3.94,0.7
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,141,114,12940,0.71,0.21,4.05,0.7
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,110,101,12945,0.51,-0.11,4.01,0.7
dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,156,145,12964,0.48,0.07,3.94,0.7
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,152,95,13200,0.68,0.4,4.06,0.7
volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,136,110,13295,0.58,0.16,4.03,0.7
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,141,114,13415,0.71,0.21,4.07,0.7
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,13495,0.41,-0.28,3.91,0.7
nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,181,152,13499,0.65,0.1,4.03,0.7
nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,181,152,13499,0.61,0.1,4.03,0.7
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,70,101,13645,0.42,-0.03,3.92,0.7
volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,97,68,13845,0.58,0.16,4.03,0.7
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,152,95,13860,0.86,0.4,4.09,0.7
nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,181,152,14399,0.65,0.1,4.04,0.7
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,156,145,14489,0.48,0.07,3.94,0.7
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,156,145,14869,0.48,0.07,3.94,0.7
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,121,110,15040,0.68,0.1,4.04,0.7
audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,110,15250,0.54,0.07,3.99,0.7
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,121,110,15510,0.68,0.1,4.04,0.8
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,95,15580,0.68,0.4,4.06,0.8
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,80,135,15645,0.42,-0.03,3.92,0.8
toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,171,156,15690,0.7,0.1,4.01,0.8
toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,161,156,15750,0.7,0.1,4.01,0.8
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,141,114,15985,0.71,0.21,4.05,0.8
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,171,161,15998,0.63,0.29,3.97,0.8
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16430,0.53,-0.17,4.01,0.8
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,152,154,16500,0.45,-0.06,3.98,0.8
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,16500,0.41,-0.28,3.91,0.8
mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,140,175,16503,0.56,0.33,4.02,0.8
