make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,wheel-base_lim,horsepower_lim,engine-size_decil
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,108,94,10198,97.0,94.0,4
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84,10245,98.8,84.0,6
honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,110,86,10295,96.5,86.0,5
honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,100,10345,96.5,100.0,5
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84,10595,98.8,84.0,6
toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,110,73,10698,102.4,73.0,5
mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,122,64,10795,98.8,64.0,6
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,122,92,10898,102.4,92.0,6
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,10945,95.3,101.0,1
isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,119,90,11048,96.0,90.0,5
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,146,116,11199,98.4,116.0,8
mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,122,84,11245,98.8,84.0,6
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,122,92,11248,102.4,92.0,6
subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,108,111,11259,97.0,111.0,4
toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,146,116,11549,98.4,116.0,8
volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,109,90,11595,94.5,90.0,4
subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,108,111,11694,96.9,111.0,4
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,11845,95.3,101.0,1
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,121,110,11850,99.1,110.0,6
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,120,97,11900,107.9,97.0,5
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,121,110,12170,99.1,110.0,6
volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,109,88,12290,100.4,88.0,4
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,120,97,12440,114.2,97.0,5
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,156,145,12629,95.9,145.0,9
plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,156,145,12764,95.9,145.0,9
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,141,114,12940,104.3,114.0,8
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,110,101,12945,96.5,101.0,5
dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,156,145,12964,95.9,145.0,9
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,152,95,13200,107.9,95.0,8
volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,136,110,13295,100.4,110.0,7
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,141,114,13415,104.3,114.0,8
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,13495,88.6,111.0,7
nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,181,152,13499,100.4,152.0,9
nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,181,152,13499,100.4,152.0,9
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,70,101,13645,95.3,101.0,1
volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,97,68,13845,100.4,68.0,2
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,152,95,13860,114.2,95.0,8
nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,181,152,14399,100.4,152.0,9
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,156,145,14489,95.9,145.0,9
mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,156,145,14869,95.9,145.0,9
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,121,110,15040,99.1,110.0,6
audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,110,15250,99.8,110.0,7
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,121,110,15510,99.1,110.0,6
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,95,15580,107.9,95.0,5
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,80,135,15645,95.3,135.0,1
toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,171,156,15690,104.5,156.0,9
toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,161,156,15750,104.5,156.0,9
volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,141,114,15985,104.3,114.0,8
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,171,161,15998,102.9,161.0,9
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16430,101.2,101.0,4
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,152,154,16500,94.5,154.0,8
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111,16500,88.6,111.0,7
mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,140,175,16503,102.7,175.0,8
volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,141,114,16515,104.3,114.0,8
toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,171,161,16558,102.9,161.0,9
peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,120,97,16630,107.9,97.0,5
peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,120,95,16695,114.2,95.0,5
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,141,114,16845,109.1,114.0,8
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,16900,107.9,95.0,8
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101,16925,101.2,101.0,4
peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,152,95,17075,114.2,95.0,8
nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,181,160,17199,91.3,160.0,9
audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,136,115,17450,99.4,115.0,7
toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,146,116,17669,98.4,116.0,8
audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,110,17710,105.8,110.0,7
peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,152,95,17950,107.9,95.0,8
peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,134,142,18150,108.0,142.0,7
saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,121,160,18150,99.1,160.0,6
mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,140,120,18280,104.9,120.0,8
mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,134,72,18344,104.9,72.0,7
nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,181,160,18399,99.2,160.0,9
volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,130,162,18420,104.3,162.0,7
saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,121,160,18620,99.1,160.0,6
audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,110,18920,105.8,110.0,7
volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,130,162,18950,104.3,162.0,7
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,141,160,19045,109.1,160.0,8
nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,181,200,19699,91.3,200.0,9
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,164,121,20970,101.2,121.0,9
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,164,121,21105,101.2,121.0,9
volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,173,134,21485,109.1,134.0,9
porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,151,143,22018,94.5,143.0,8
volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,145,106,22470,109.1,106.0,8
volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,141,114,22625,109.1,114.0,8
audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,131,140,23875,105.8,140.0,7
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,164,121,24565,103.5,121.0,9
mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,183,123,25552,110.0,123.0,10
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,183,123,28176,106.7,123.0,10
