,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,wheel-base_lim,horsepower_lim,diff_horsepower_lim,diff_price,engine-size_decil
8,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,10945,95.3,101.0,-2.4458070610736655,-2298.879396984925,1
34,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,70,101,13645,95.3,101.0,-2.4458070610736655,401.1206030150752,1
17,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101,11845,95.3,101.0,-2.4458070610736655,-1398.8793969849248,1
107,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,79,60,5399,93.7,60.0,-43.445807061073666,-7844.879396984925,1
44,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,80,135,15645,95.3,135.0,31.554192938926334,2401.120603015075,1
124,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,6692,93.7,68.0,-35.445807061073666,-6551.879396984925,1
109,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,5572,93.7,68.0,-35.445807061073666,-7671.879396984925,1
110,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,90,68,5572,93.7,68.0,-35.445807061073666,-7671.879396984925,1
121,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,90,70,6575,94.5,70.0,-33.445807061073666,-6668.879396984925,1
117,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,90,68,6377,93.7,68.0,-35.445807061073666,-6866.879396984925,1
147,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,90,68,7609,93.7,68.0,-35.445807061073666,-5634.879396984925,1
113,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,90,68,6229,93.7,68.0,-35.445807061073666,-7014.879396984925,1
125,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,90,68,6692,93.7,68.0,-35.445807061073666,-6551.879396984925,1
