Custid,Mnt,Clothes,NetPurchase,Marital_Status,DepVar
1903,43.68,73,53,Single,0
5261,1670.24,78,16,Married,1
9733,48.88,86,67,BigConfusion,0
5922,1659.84,18,7,Married,0
2432,38.48,15,62,Single,0
10376,864.24,58,13,Single,0
10527,557.44,40,46,Married,0
1104,988.0,39,28,Together,0
5576,679.12,89,51,Married,0
9245,268.32,75,47,Married,0
7815,1187.68,68,39,Together,0
5046,11.44,24,66,Together,0
5583,558.48,41,75,Married,0
9002,153.92,34,65,Together,0
4526,1927.12,62,22,Married,1
10787,56.16,13,63,Single,0
8332,863.2,21,18,Single,0
4131,1660.88,46,9,Divorced,1
3904,123.76,46,44,Single,0
5590,189.28,88,59,Together,0
2671,41.6,30,64,Together,0
2555,2445.04,46,8,Together,1
9927,14.56,20,59,Divorced,0
7955,232.96,78,49,Married,0
7778,17.68,58,40,Together,0
1041,156.0,6,60,Single,0
3949,2506.4,54,10,Divorced,1
9968,95.68,54,58,Together,0
2545,796.64,60,66,Married,0
8157,928.72,59,27,Divorced,0
4630,927.68,18,9,Together,0
7575,1190.8,37,33,Married,0
4945,318.24,36,41,Married,0
4517,31.2,14,62,Single,0
1006,58.24,47,67,Together,0
1741,41.6,59,27,Married,0
6220,997.36,36,37,Single,0
3079,2255.76,79,13,Married,1
9020,80.08,50,42,Married,0
9062,1329.12,16,13,Together,0
10568,19.76,6,54,Together,0
4479,28.08,7,68,Together,0
6481,92.56,57,51,Married,0
5554,459.68,78,48,Together,0
1143,65.52,83,42,Single,0
8592,17.68,70,64,Single,0
2442,310.96,91,65,Divorced,0
4246,1118.0,18,17,Together,0
8822,561.6,35,56,Single,0
6106,31.2,44,52,Single,0
10063,570.96,96,51,Together,0
2794,1600.56,20,12,Single,0
7759,189.28,61,50,Single,0
10516,35.36,50,68,Married,0
1825,2628.08,41,11,Married,0
5821,268.32,87,52,Married,0
8077,1400.88,42,16,Together,0
8715,72.8,45,50,Together,0
3959,95.68,77,47,Divorced,0
1283,194.48,91,65,Widow,0
10225,54.08,32,54,Together,0
5434,28.08,16,50,Single,0
6214,508.56,51,38,Married,0
1807,566.8,59,58,Married,0
5384,126.88,57,55,Married,0
5685,1467.44,22,12,Widow,0
9101,52.0,39,44,Married,0
3066,125.84,57,56,Together,0
4874,796.64,47,29,Married,0
5230,70.72,44,69,Married,0
1034,48.88,20,62,Married,0
8139,514.8,79,44,Single,0
3649,195.52,86,63,Divorced,0
5776,798.72,43,25,Married,0
2135,2061.28,66,13,Widow,1
4751,59.28,48,66,BigConfusion,0
7005,42.64,63,56,Single,0
3868,566.8,55,36,Together,0
8503,229.84,52,72,Together,0
5092,228.8,78,67,Together,0
3273,19.76,41,67,Married,0
9063,1116.96,43,18,Together,0
1917,557.44,54,47,Married,0
8070,63.44,9,77,Married,0
7529,46.8,67,61,Married,0
5341,864.24,48,26,Single,0
