make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,length_min_max,width_std,height_log,price_decile
subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,108,94.0,10198.0,0.4835820895522389,-0.2314124326522927,3.9889840465642745,5
mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,122,84.0,10245.0,0.547761194029851,0.2907489538451886,4.034240638152395,5
honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,110,86.0,10295.0,0.5119402985074628,-1.6080197243274805,4.009149716158869,6
honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,100.0,10345.0,0.417910447761194,0.05340286907360497,3.9512437185814275,6
mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,122,84.0,10595.0,0.547761194029851,0.2907489538451886,4.001863709427935,6
toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,110,73.0,10698.0,0.5149253731343284,0.2907489538451886,4.023564380161053,6
mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,122,64.0,10795.0,0.547761194029851,0.2907489538451886,4.034240638152395,6
toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,122,92.0,10898.0,0.5149253731343284,0.2907489538451886,4.023564380161053,6
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101.0,10945.0,0.4164179104477613,-0.08900478178934387,3.92395157629342,6
isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,119,90.0,11048.0,0.4701492537313433,-0.3263508665609275,3.9589065913269965,6
toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,146,116.0,11199.0,0.5238805970149253,-0.13647399874366464,3.970291913552122,6
mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,122,84.0,11245.0,0.547761194029851,0.2907489538451886,4.034240638152395,6
toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,122,92.0,11248.0,0.5149253731343284,0.2907489538451886,4.005513348515485,6
subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,108,111.0,11259.0,0.46119402985074637,-0.2314124326522927,4.012772908528289,6
