Location,Year,Month,DaysAbove35
Albury,2008,12,0.0
Albury,2009,1,15.0
Albury,2009,2,8.0
Albury,2009,3,0.0
Albury,2009,4,0.0
Albury,2009,5,0.0
Albury,2009,6,0.0
Albury,2009,7,0.0
Albury,2009,8,0.0
Albury,2009,9,0.0
Albury,2009,10,0.0
Albury,2009,11,8.0
Albury,2009,12,7.0
Albury,2010,1,17.0
Albury,2010,2,4.0
Albury,2010,3,0.0
Albury,2010,4,0.0
Albury,2010,5,0.0
Albury,2010,6,0.0
Albury,2010,7,0.0
Albury,2010,8,0.0
Albury,2010,9,0.0
Albury,2010,10,0.0
Albury,2010,11,0.0
Albury,2010,12,1.0
Albury,2011,1,3.0
Albury,2011,2,2.0
Albury,2011,3,0.0
Albury,2011,5,0.0
Albury,2011,6,0.0
Albury,2011,7,0.0
Albury,2011,8,0.0
Albury,2011,9,0.0
Albury,2011,10,0.0
Albury,2011,11,1.0
Albury,2011,12,0.0
Albury,2012,1,9.0
Albury,2012,2,1.0
Albury,2012,3,0.0
Albury,2012,4,0.0
Albury,2012,5,0.0
Albury,2012,6,0.0
Albury,2012,7,0.0
Albury,2012,8,0.0
Albury,2012,9,0.0
Albury,2012,10,0.0
Albury,2012,11,2.0
Albury,2013,1,15.0
Albury,2013,3,3.0
Albury,2013,4,0.0
Albury,2013,5,0.0
Albury,2013,6,0.0
Albury,2013,7,0.0
Albury,2013,8,0.0
Albury,2013,9,0.0
Albury,2013,10,0.0
Albury,2013,11,1.0
Albury,2013,12,7.0
Albury,2014,1,13.0
Albury,2014,2,9.0
Albury,2014,3,0.0
Albury,2014,4,0.0
Albury,2014,5,0.0
Albury,2014,6,0.0
Albury,2014,7,0.0
Albury,2014,8,0.0
Albury,2014,9,0.0
Albury,2014,10,0.0
Albury,2014,11,2.0
Albury,2014,12,2.0
Albury,2015,1,6.0
Albury,2015,2,5.0
Albury,2015,3,0.0
Albury,2015,4,0.0
Albury,2015,5,0.0
Albury,2015,6,0.0
Albury,2015,7,0.0
Albury,2015,8,0.0
Albury,2015,9,0.0
Albury,2015,10,0.0
Albury,2015,11,1.0
Albury,2015,12,5.0
Albury,2016,1,7.0
Albury,2016,2,7.0
Albury,2016,3,11.0
Albury,2016,4,0.0
Albury,2016,5,0.0
Albury,2016,6,0.0
Albury,2016,7,0.0
Albury,2016,8,0.0
Albury,2016,9,0.0
Albury,2016,10,0.0
Albury,2016,11,1.0
Albury,2016,12,5.0
Albury,2017,1,9.0
Albury,2017,2,6.0
Albury,2017,3,1.0
Albury,2017,4,0.0
Albury,2017,5,0.0
Albury,2017,6,0.0
Badgerys Creek,2009,1,12.0
Badgerys Creek,2009,2,5.0
Badgerys Creek,2009,3,0.0
Badgerys Creek,2009,4,0.0
Badgerys Creek,2009,5,0.0
Badgerys Creek,2009,6,0.0
Badgerys Creek,2009,7,0.0
Badgerys Creek,2009,8,0.0
Badgerys Creek,2009,9,0.0
Badgerys Creek,2009,10,0.0
Badgerys Creek,2009,11,8.0
Badgerys Creek,2009,12,6.0
Badgerys Creek,2010,1,8.0
Badgerys Creek,2010,2,2.0
Badgerys Creek,2010,3,2.0
Badgerys Creek,2010,4,0.0
Badgerys Creek,2010,5,0.0
Badgerys Creek,2010,6,0.0
Badgerys Creek,2010,7,0.0
Badgerys Creek,2010,8,0.0
Badgerys Creek,2010,9,0.0
Badgerys Creek,2010,10,0.0
Badgerys Creek,2010,11,0.0
Badgerys Creek,2010,12,0.0
Badgerys Creek,2011,1,6.0
Badgerys Creek,2011,2,8.0
